# Boom Bap
13 Bastardi,978420
2 Buoni Motivi,990571
Adrenalina Boys,962996
Ape,137592
Bassi Maestro,42536
Blo/B,982181
Ciacca,1007624
Colle Der Fomento,43928
Claver Gold,541368
DJ Fastcut,330069
Mattak,569058
The Departed Beats,2324615
Chiodo,652412
Claver Gold,541368
Rido MC,668656
Supa (CDB),473166

# Drill
Baby Gang,2276316

# Hardcore
Danno,30030
DJ Baro,583616
Ice One,544023
Masito,69160

# Horrorcore
Adria The Reject,1678260
Chicoria,556041
Noyz Narcos,29529

# Indie Rap
Gemello,384131

# Pop Rap
Articolo 31,50888
Caparezza,24580
J-Ax,33884
Murubutu,251575
Rkomi,639036
Salmo,33882

# Trap
Capo Plaza,991191
Dani Faiv,1038863
Disme,674361
Ernia,652529
Friman,1450952
Jake La Furia,33881
Ketama126,605105
Lazza,380028
Nayt,332054
Night Skinny,266775
RADICAL,386400
Rosa Chemical,1432731
Sfera Ebbasta,339757
Zyrtck,1592277

# Turntablism
Alien Army,1465131

# Uncategorized
18K,3029097
22simba,2864791
2C,1774059
4am,2628816
8blevrai,2454083
Abby 6ix,1494763
Abe Kayn,650945
Achille Lauro,92187
Ago,986006
Akill Miami & Sela,2861227
Aleaka,1130541
Alex Margiela,2827882
Amici Miei,1135220
Apotheosis,2398657
Arssalendo,2074678
Asher Kuno,404641
Axell,2683678
Baby Rich,2914682
Bebi182,1279950
Big Fish,29465
BigMama,2448546
Biro,1774695
Bresh,623737
Brunello Team,1239356
Brusco,268713
Cali,1027694
Caneda,106698
Catra Martinex,1977151
Chiky Realeza,1555984
Chrysma,3119049
Cisky MCK,1772198
Chrono,2245920
Clementino,81704
DJ Enzo,378707
DJ Sasha,2534669
Don Joe,33747
Guè,33880
Jake La Furia,33881
Solo Zippo,855791
